insight id,Date,insight title,insight description,Category_ML,Product_Clean,hcp,hco,country,Territory,created by,voting,Is_Actionable,Cat_Access_And_Policy,Cat_Competitor_Intelligence,Cat_Medical_Education_&_Practice,Cat_Operations_And_Diagnostics,Cat_Stakeholder_Mapping,Cat_Strategic_Partnership,Cat_Promotional_Activity
a3XS70000001OjRMAU,5/31/2024,Regional CNAM expert,"Patients dossier are assessed locally in CNAM jandouba, the president of the commission is dr hager ferchichi - Dr najet mahjoub is consulted for decision",Access & Policy,General/other,"Mahjoub, Najet",Hopital regional jandouba,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,0,1,0,0,0,0,0,0
a3XS70000001OoHMAU,5/31/2024,CNAM South Tunisia Expert,Dr aloulou is the oncologist expert to assess the patients dossiers submitted in the south of tunisia -,Access & Policy,General/other,"Aloulou, Samir",Hopital Régional de Gabés Mohamed Ben Sassi (Gabès),Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000001OoHMAU,5/31/2024,CNAM South Tunisia Expert,Dr aloulou is the oncologist expert to assess the patients dossiers submitted in the south of tunisia -,Access & Policy,General/other,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000002qH3MAI,7/9/2024,Delay on Perjeta access in neoadjuvant indication,"long delay to have access to the treatment in the neoadj indication , doctor start with anthracycline the time to have the approval on perjeta with Her -",Access & Policy,Perjeta,"Mezlini, Amel",Institut Salah Azeiz,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000003DAPMA2,7/19/2024,Sfax Visit,Need of educational material -,Medical Education & Practice,General/other,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Achraf Ben Chaabane,0,1,0,0,1,0,0,0,0
a3XS70000003DdRMAU,7/19/2024,10 patients under Enhertu,10 patients are treated with enhertu in 2l BC in ariana oncology department -,Competitor Intelligence,General/other,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,1,0,0,0,0,0
a3XS70000003DgfMAE,7/19/2024,TPCR in patients with Perjeta in Neoadjuvant ttt,3 patients have complete PCR with perjeta in neoadjuvant stage -,Medical Education & Practice,Perjeta,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000004QNJMA2,8/21/2024,Programme de diagnostic avec DSSB Regional de Nabeul,Dignostic precoce du cancer du sein -,Medical Education & Practice,General/other,"Bel Fekih, Houda",Hôpital Régional Mohamed Taher El Maamouri - Oncology Dept,Tunisia,Oncology,Achraf Ben Chaabane,0,1,0,0,1,0,0,0,0
a3XS70000005RlxMAE,9/18/2024,Unlock the reiumbursment pof Perjeta Dossier,The national society of oncology has sent a courrier to the national ensurance to request the acceleration of the reiumbursment of Perjeta in neoadjuvant indication -,Strategic Partnership,Perjeta,"Ben Fatma Sassi, Leila",Hôpital Farhat Hached - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,0,0,0,1,0
a3XS70000005RpBMAU,9/18/2024,Issue of Access to perjeta in Neoadj indication,the national insurance approve only the half of the vials for Perjeta in neoadjuvant indication -,Access & Policy,Perjeta,"Ben Ammou, Amel Landolsi",Cabinet Dr Amel Landolsi Ben Ammou,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000005RsPMAU,9/18/2024,MoH request Oncologists to review their prescription,The MoH is requesting the oncologists to prescribe shipper treatment to patients -,Access & Policy,General/other,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000005RvdMAE,9/18/2024,efficacy Tecentriq in SCLC,the experts are not conviced about the added value of Tecentriq in SCLC for tunisian patients - most of Tunisian patients with E-SCLC are not eligble for theTecentriq indication as the Performance Statue is 2 to3,Medical & Practice & Education,Tecentriq,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005RyrMAE,9/18/2024,Efficacy Perjeta in neoadjuvant Treatment in Tunisia,Evidence about the added value of perjeta in Neoadj treatment of eBC - the Ariana department shared the results of the use of Perjeta in neoadjuvant treatement for 10 patients: 50% are PCR,Medical Education & Practice,Perjeta,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005RyrMAE,9/18/2024,Efficacy Perjeta in neoadjuvant Treatment in Tunisia,Evidence about the added value of perjeta in Neoadj treatment of eBC - the Ariana department shared the results of the use of Perjeta in neoadjuvant treatement for 10 patients: 50% are PCR,Medical Education & Practice,Perjeta,"Ben Rezzagua, Yosra",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005S3hMAE,9/18/2024,AORTIC Congress 2025 will be held in Tunisia,the AORTIC CONGRESS will take place in Tunisia 17-20 November 2025 -,Medical Education & Practice,General/other,"Chraait, Nesrine",Institut Salah Azeiz,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,1
a3XS70000005S3hMAE,9/18/2024,AORTIC Congress 2025 will be held in Tunisia,the AORTIC CONGRESS will take place in Tunisia 17-20 November 2025 -,Medical Education & Practice,General/other,"Ben Fatma Sassi, Leila",Hôpital Farhat Hached - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,1
a3XS70000005S6vMAE,9/18/2024,Kadcyla new patient under treatment Sfax Onco department,"Kadcyla approved for new patient in adjuvant indication in Sfax onco department, is the second patient. - Kadcyla not yet reimbursed in Tunisia",Access & Policy,Kadcyla,"Fekih, Amani",Hôpital Habib Bourguiba de Sfax,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000005TJ7MAM,9/18/2024,Delay on tecentriq delivery,The delay between the tecentriq prescription and the access to treatment for patient in Djerba are more than 10 weeks - Patient from djerba need to travel more than 300 km to take ttt from CNAM Sfax,Access & Policy,Tecentriq,"Zidi, Zied",Cabinet Dr Zied Zidi,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000005TKjMAM,9/18/2024,eBC in Tunisia: Most of parient are diagnosed with an N+,"More than half of patients in the early Breast cancer have an N+ and are eligible to neoadjuvant treatement, unfortunately only less than a half have access to the SoC P+H -",Medical Education & Practice,General/other,"Ben Fatma Sassi, Leila",Hôpital Farhat Hached - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005TKjMAM,9/18/2024,eBC in Tunisia: Most of parient are diagnosed with an N+,"More than half of patients in the early Breast cancer have an N+ and are eligible to neoadjuvant treatement, unfortunately only less than a half have access to the SoC P+H -",Medical Education & Practice,General/other,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005TKjMAM,9/18/2024,eBC in Tunisia: Most of parient are diagnosed with an N+,"More than half of patients in the early Breast cancer have an N+ and are eligible to neoadjuvant treatement, unfortunately only less than a half have access to the SoC P+H -",Medical Education & Practice,General/other,"Chraait, Nesrine",Institut Salah Azeiz,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005TKjMAM,9/18/2024,eBC in Tunisia: Most of parient are diagnosed with an N+,"More than half of patients in the early Breast cancer have an N+ and are eligible to neoadjuvant treatement, unfortunately only less than a half have access to the SoC P+H -",Medical Education & Practice,General/other,"Mejri, Nesrine Turki",Hôpital Abderrahmen Mami De Pneumo-Phtisiologie - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005TKjMAM,9/18/2024,eBC in Tunisia: Most of parient are diagnosed with an N+,"More than half of patients in the early Breast cancer have an N+ and are eligible to neoadjuvant treatement, unfortunately only less than a half have access to the SoC P+H -",Medical Education & Practice,General/other,"Zaairi, Faten",Hôpital Farhat Hached - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005TNxMAM,9/18/2024,Tecentriq storage issue,The Patient froze the vial of tecentriq for 24h -,Operations & Diagnostics,Tecentriq,"Daoud, Nouha",Dr Nouha Daoud,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,0,1,0,0,1
a3XS70000005n1hMAA,9/26/2024,Alecensa efficacy in tunisian NSCLC ALK+ first military hospital patient,First patient Alecensa in Military hospital response well to treatement with alecensa after 6 month treatement -,Medical Education & Practice,Alecensa,"Haddaoui, Abderrazek",Hôpital Militaire de Tunis - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005n4vMAA,9/26/2024,recommandation to submit Alecensa in adjuvant indication in tunisia,"the expert recommand to submit ASAP the Alina dossier in Tunisia , as the scientific cosmission is more flexible -",Access & Policy,Alecensa,"Ayari, Jihen",Hôpital Militaire de Tunis - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000005nBNMAY,9/26/2024,A ministerial decree that obliges private doctors not to prescribe off-label med,A ministerial decree that obliges private doctors not to prescribe off-label medications was published in the JORT in July with the endorsement of the syndicat -,Access & Policy,General/other,"Bouattour, Chiraz Ben Ayed",Cabinet Dr Chiraz Bouattour,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000005nBNMAY,9/26/2024,A ministerial decree that obliges private doctors not to prescribe off-label med,A ministerial decree that obliges private doctors not to prescribe off-label medications was published in the JORT in July with the endorsement of the syndicat -,Access & Policy,General/other,"Ayari, Jihen",Hôpital Militaire de Tunis - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS70000005nPtMAI,9/26/2024,"Lack of awareness about lung cancer in Sfax, especially among general practition","Oncologists in sfax report that there is a lack of awareness about lung cancer disease, symptoms,  in Sfax, especially among general practitioners -",Medical Education & Practice,General/other,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS70000005nT7MAI,9/26/2024,The number of approved Perjeta cycles in neoadjuvant therapy is less,The number of approved cycles of Perjeta in neoadjuvant therapy is less than the recommended and prescribed quantity. - doctors request 5 cycles only 3 cycles are approuved by the CNAM,Access & Policy,Perjeta,"Ben Ammou, Amel Landolsi",Cabinet Dr Amel Landolsi Ben Ammou,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,1,0,0,0,0,0,0
a3XS700000064SLMAY,10/2/2024,Patient under alecensa,The patient respond well to alecensa with good safety profil -,Medical Education & Practice,General/other,"Haddaoui, Abderrazek",Hôpital Militaire de Tunis - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
a3XS700000064VZMAY,10/2/2024,Lung Cancer awarness event in Sfax in collaboration with local GP,The onco Sfax department plan to have an awareness Lung cancer event with the GPs -,Medical Education & Practice,General/other,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,1
a3XS700000064ddMAA,10/2/2024,Need to raise awareness about the MDT decision value in SFax,Dr kallel is requesting Roche support to impliment and support the MDT decision i. Breast cancer in Sfax private sector -,Strategic Partnership,General/other,"Sellami, Narjes Kallel",Dr Narjes Kallel Sellami,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,0,0,0,1,0
a3XS700000076YXMAY,10/31/2024,Head to head Pembor VS Biosimilaire clinical Trial MENA,mabxience assessing the feasability to run a head to head study Pembro vs biosimilaire in MENA -,Competitor Intelligence,General/other,"Rais, Henda",Institut Salah Azeiz,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,1,0,0,0,0,0
a3XS700000076dNMAQ,10/31/2024,Perjeta in adjuvant for patient HER2+ with PCR is the SoC,Tunisian expert convinced about the added value of perjeta in adjuvant indication at risk patients -,Medical Education & Practice,Perjeta,"Khanfir, Afef",Hôpital Habib Bourguiba de Sfax - Oncology Dept,Tunisia,Oncology,Zeineb Jaafar ep Hafsa,0,1,0,0,1,0,0,0,0
